song_id,audio_path,lyrics_path
Fifth Harmony - Work from Home,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Fifth Harmony - Work from Home.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Fifth Harmony - Work from Home.txt
Justin Bieber - Baby,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Justin Bieber - Baby.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Justin Bieber - Baby.txt
Justin Bieber - Let Me Love You,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Justin Bieber - Let Me Love You.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Justin Bieber - Let Me Love You.txt
Justin Timberlake - CAN'T STOP THE FEELING,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Justin Timberlake - CAN'T STOP THE FEELING.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Justin Timberlake - CAN'T STOP THE FEELING.txt
Mark Ronson - Uptown Funk,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Mark Ronson - Uptown Funk.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Mark Ronson - Uptown Funk.txt
Miley Cyrus - Flowers,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Miley Cyrus - Flowers.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Miley Cyrus - Flowers.txt
Sabrina Carpenter - Espresso,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Sabrina Carpenter - Espresso.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Sabrina Carpenter - Espresso.txt
Sabrina Carpenter - Taste,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Sabrina Carpenter - Taste.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Sabrina Carpenter - Taste.txt
Taylor Swift - Blank Space,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Taylor Swift - Blank Space.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Taylor Swift - Blank Space.txt
Taylor Swift - Shake It Off,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Taylor Swift - Shake It Off.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Taylor Swift - Shake It Off.txt
Taylor Swift - The Fate of Ophelia,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/songs/pop_song/Taylor Swift - The Fate of Ophelia.mp3,C:/Users/PC/Desktop/project_CSE715_18101194_anika_ahsan/data/medium_task_dataset/lyrics/pop_lyrics/Taylor Swift - The Fate of Ophelia.txt
